new entry "Shout_FollowerKeepPosition"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "SkillProperties" "LX_KEEPPOSITION,100,-1"
data "AreaRadius" "0"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "Yes"
data "Icon" "Global Pause_a"
data "DisplayName" "Shout_FollowerKeepPosition_DisplayName"
data "DisplayNameRef" "Keep Position"
data "Description" "Shout_FollowerKeepPosition_Description"
data "DescriptionRef" "The character stop moving."
data "FXScale" "100"
data "PrepareAnimationInit" "noprepare"
data "CastAnimation" "noprepare"
data "CastTextEvent" "cast"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"

